iter	Logloss
0	0.5422613783
1	0.4441828596
2	0.3720305066
3	0.3095818554
4	0.2670592951
5	0.2346485423
6	0.2025699823
7	0.1883861889
8	0.171528068
9	0.1583816002
10	0.1494565265
11	0.1384654831
12	0.1293754231
13	0.1227856047
14	0.1164697921
15	0.1109508897
16	0.1028707194
17	0.09822816314
18	0.09559110114
19	0.08928776426
20	0.08573662341
21	0.08218268573
22	0.08018363493
23	0.07711469257
24	0.07421833146
25	0.07142689771
26	0.0697453392
27	0.06699919391
28	0.0639869535
29	0.06158988906
30	0.06004355979
31	0.05867739969
32	0.0573963438
33	0.0560378597
34	0.054341002
35	0.05110120644
36	0.05007351242
37	0.04911551286
38	0.04795680877
39	0.04713682624
40	0.04646787934
41	0.04566605079
42	0.04497420537
43	0.04442033394
44	0.04348308625
45	0.04174959611
46	0.04012221672
47	0.03940428217
48	0.03825956358
49	0.03734209638
50	0.0365981841
51	0.03620811379
52	0.03569906845
53	0.03523036136
54	0.03497122191
55	0.03449769765
56	0.03414059124
57	0.03318091395
58	0.03281579293
59	0.0321045694
60	0.03185017423
61	0.03132327254
62	0.03059722787
63	0.03025392501
64	0.02982155095
65	0.02905236356
66	0.02834865424
67	0.0274868579
68	0.02695848864
69	0.02632151358
70	0.02587733505
71	0.02571026049
72	0.02498724689
73	0.02471568649
74	0.0245128645
75	0.0243187302
76	0.02409609766
77	0.02388659926
78	0.0235374933
79	0.02314956279
80	0.02272116563
81	0.0220097513
82	0.02181108773
83	0.02144405245
84	0.02097556726
85	0.02075546616
86	0.02060920521
87	0.02014232731
88	0.02007598834
89	0.01939744351
90	0.01912960712
91	0.01891576168
92	0.01869168044
93	0.01844939631
94	0.01821334659
95	0.01811101539
96	0.01790857987
97	0.01778195917
98	0.01751953832
99	0.01740447548
